Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
538,"team921 南昌大学",3,07:41:33,,(-15),,,,"02:17:52 (-2)",,,,,"01:54:24 (-5)",,01:09:17
539,"team603 郑州轻工业大学",3,07:47:57,,,,,,"02:55:21 (-2)",,,,,"00:51:28 (-1)",,"02:41:08 (-1)"
540,"team728 青岛大学",3,07:48:19,,(-11),,,,"02:58:36 (-5)",,(-1),,,"00:53:40 (-2)",,01:36:03
541,"team641 南京信息工程大学",3,07:51:09,,"04:14:49 (-6)",,,,01:04:51,,,,,00:31:29,,
542,"team244 衡水学院",3,07:53:01,,(-2),,,,"01:16:48 (-1)",,,,,"00:37:40 (-3)",,04:38:33
543,"team547 华南师范大学",3,07:55:42,,,,,,"04:17:16 (-2)",,,,,01:06:10,,01:52:16
544,"team1043 南京理工大学",3,07:56:02,,(-9),,,,"02:18:40 (-4)",,,,,"00:24:27 (-1)",,03:32:55
545,"team072 西北农林科技大学",3,08:00:37,,(-16),,,,"03:08:29 (-1)",,,,,"02:09:14 (-3)",,01:22:54
546,"team246 中国计量大学",3,08:01:23,,"04:00:09 (-2)",,,,02:37:25,,,,,"00:23:49 (-1)",,
547,"team650 西南科技大学",3,08:01:56,,"03:54:03 (-1)",,,,"02:50:35 (-2)",,,,,00:17:18,,(-2)
548,"team786 浙江财经大学",3,08:02:23,,(-7),,,,"03:44:33 (-2)",,,,,"00:58:19 (-1)",,02:19:31
549,"team136 浙大宁波理工学院",3,08:12:12,,(-9),,,,"03:28:30 (-6)",,,,,01:44:34,,00:59:08
550,"team552 清华大学",3,08:13:35,,(-6),,,,"03:37:36 (-1)",,,,,"02:26:58 (-2)",,01:09:01
551,"team732 天津工业大学",3,08:17:19,,(-5),,,,"03:46:06 (-9)",,,,,"00:16:08 (-1)",,00:55:05
552,"team631 南阳理工学院",3,08:17:29,,"04:09:57 (-4)",,,,(-12),,,,,"00:55:36 (-1)",,01:31:56
553,"team591 福州大学",3,08:27:51,,(-5),,,,"03:40:34 (-1)",(-1),,,,"01:46:41 (-2)",,02:00:36
554,"team766 义乌中学",3,08:34:35,(-1),(-20),,,,"04:01:05 (-1)",,,,,"00:54:55 (-2)",,02:38:35
555,"team861 华中科技大学",3,08:35:51,,(-9),,,,"04:08:14 (-4)",,,,,"00:47:18 (-1)",,02:00:19
556,"team779 山东建筑大学",3,08:36:29,,"04:00:39 (-8)",,,,(-6),,(-1),,,"00:42:20 (-2)",,00:33:30
557,"team721 吉林大学",3,08:37:29,,(-9),,,,"03:27:31 (-4)",,,,,"01:42:35 (-1)",,01:47:23
558,"team456 北京化工大学",3,08:40:11,,,,,,"03:14:13 (-3)",,,,,"01:44:01 (-4)",,01:21:57
559,"team968 香港科技大学（广州）",3,08:43:17,,,,,,04:41:46,,,,,"01:42:43 (-1)",,01:58:48
560,"team191 广东工业大学",3,08:49:23,,(-5),,,,"03:30:44 (-1)",,,,,"01:49:36 (-3)",,02:09:03
561,"team083 东北师范大学",3,09:02:42,,(-5),,,,"04:03:08 (-1)",,,,,"01:11:50 (-1)",,03:07:44
562,"team006 绍兴文理学院",3,09:03:17,,(-3),,,,"02:44:10 (-1)",,,,,01:00:38,,04:58:29
563,"team1000 金策工业综合大学",3,09:10:31,,"04:10:40 (-3)",(-1),,,00:47:25,,,,,"02:52:26 (-1)",,
564,"team144 浙江万里学院",3,09:13:14,,(-12),,,,"03:40:22 (-8)",,,,,00:32:36,,02:20:16
565,"team798 西南财经大学",3,09:15:49,,"03:39:22 (-4)",,,,"02:24:21 (-3)",,(-8),,,"00:32:06 (-1)",,
566,"team081 东北师范大学",3,09:17:46,,(-7),,,,"04:40:58 (-3)",,,,,"00:40:24 (-2)",,02:16:24
567,"team187 广东工业大学",3,09:22:16,,(-11),,,,"03:09:54 (-2)",,,,,"01:13:57 (-4)",,02:58:25
568,"team731 天津工业大学",3,09:29:08,,,,,,"02:47:44 (-4)",,,,,"01:37:27 (-1)",,03:23:57
569,"team835 南京邮电大学",3,09:30:24,,(-6),,,,"02:21:05 (-1)",,,,,"01:52:25 (-3)",,03:56:54
570,"team463 中南民族大学",3,09:37:21,,(-9),,,,"04:00:53 (-2)",,,,,"01:50:23 (-2)",,02:26:05
571,"team713 吉林大学",3,09:42:20,,(-9),,,,"03:44:58 (-5)",,,,,"00:44:28 (-2)",,02:52:54
572,"team729 南华大学",3,09:49:51,,,,,,"04:03:13 (-1)",,,,,"01:42:16 (-3)",,"02:24:22 (-1)"
573,"team575 河南工业大学",3,09:56:37,,(-7),,,,"03:50:23 (-1)",,,,,"01:35:03 (-2)",,03:31:11
574,"team973 天津大学",3,09:56:45,,(-15),,,,"04:22:54 (-3)",,,,,"00:43:16 (-1)",,03:30:35
575,"team375 浙大城市学院",3,09:58:43,,(-8),,,,"03:45:05 (-5)",,,,,"01:29:04 (-3)",,02:04:34
576,"team253 成都理工大学",3,10:03:49,,,,,,"04:48:46 (-1)",,(-6),,,00:53:18,,04:01:45
577,"team978 天津大学",3,10:08:32,,(-4),,,,04:09:45,,,,,"02:08:38 (-2)",,03:10:09
578,"team927 北华大学",3,10:09:49,,(-5),,,,"03:30:05 (-4)",,,,,"00:29:14 (-1)",,04:30:30
579,"team163 山东理工大学",3,10:28:19,,,,,,(-12),,,"03:14:24 (-6)",,00:26:17,,04:47:38
580,"team054 东北大学",3,10:30:28,,"04:49:07 (-9)",,,,01:45:48,,,,,00:55:33,,(-3)
581,"team512 浙江科技大学",3,10:31:07,,(-6),,,,"02:54:15 (-3)",,,,,"01:03:45 (-2)",,04:53:07
582,"team913 广西大学",3,10:31:58,,"03:04:49 (-1)",,,,"04:40:57 (-1)",,,,,"01:46:12 (-1)",,
583,"team636 南阳理工学院",3,10:32:55,,,,,,"04:14:33 (-1)",,,,,01:09:27,,"04:28:55 (-1)"
584,"team701 中南大学",3,10:40:01,,(-4),,,,"04:32:16 (-3)",,,,,"00:37:50 (-1)",,04:09:55
585,"team734 天津工业大学",3,10:40:29,,,,,,"02:28:33 (-2)",,,,,"01:59:59 (-2)",,04:51:57
586,"team323 中国地质大学（北京）",3,11:01:15,,"04:48:39 (-8)",,,,"02:09:39 (-1)",,,,,"00:42:57 (-1)",,(-1)
587,"team923 南昌大学",3,11:08:32,,(-4),,,,"04:59:12 (-6)",,,,,"00:59:53 (-1)",,02:49:27
588,"team820 南通大学",3,11:22:47,,(-9),,,,"03:40:43 (-2)",,,,,"04:17:04 (-5)",,01:05:00
589,"team688 青岛科技大学",3,11:27:22,,,,,,"04:14:39 (-5)",,,,,"00:56:57 (-4)",,03:15:46
590,"team372 浙大城市学院",3,11:29:36,,(-16),,,,"03:45:38 (-7)",,,,,00:35:38,,04:48:20
591,"team462 中南民族大学",3,11:35:45,,(-8),,,,"03:55:28 (-5)",,,,,"02:37:03 (-3)",,02:23:14
592,"team060 绍兴文理学院",3,11:49:50,,,,,,"04:59:06 (-8)",,,,,"01:23:09 (-1)",,02:27:35
593,"team032 中国传媒大学",3,12:02:53,,"04:37:22 (-6)",,,,(-8),,,,,"02:42:02 (-2)",,"01:43:29 (-1)"
594,"team735 天津工业大学",3,12:10:49,,(-2),,,,"03:35:12 (-1)",,,,,"03:00:18 (-9)",,02:15:19
595,"team059 东北大学",3,12:11:01,,"04:28:37 (-6)",,,,02:59:20,,,,,"01:43:04 (-3)",,(-1)
596,"team469 延安大学西安创新学院",3,12:25:19,,"04:57:39 (-7)",,,,"03:24:16 (-3)",,,,,"00:23:24 (-1)",,
597,"team892 安阳工学院",3,13:08:57,,(-12),,,,"04:16:35 (-9)",,,,,"01:58:52 (-5)",,02:13:30
598,"team156 杭州医学院",3,13:55:19,,"04:40:57 (-5)",,,,"03:49:24 (-3)",,,,,"01:24:58 (-4)",,
599,"team467 延安大学西安创新学院",3,13:55:30,,"04:44:48 (-14)",,,,"03:32:55 (-2)",,,,,00:17:47,,
600,"team168 北京林业大学",3,14:35:44,,(-1),,(-1),(-1),"04:03:51 (-2)",,(-2),,(-1),"03:12:04 (-5)",,04:59:49
601,"team944 北京科技大学",3,17:18:10,,"04:38:35 (-25)",,,,(-1),,(-1),,,"00:54:16 (-2)",,02:45:19
602,"team579 北京工业大学",2,01:32:18,,,,,,(-1),,(-1),,,"00:28:52 (-1)",,00:43:26
603,"team285 宁波大学",2,01:37:29,,(-3),,,,"00:44:27 (-1)",,,,,00:33:02,,
604,"team135 浙大宁波理工学院",2,01:41:16,,(-4),,,,(-4),,,,,"00:35:59 (-1)",,00:45:17
605,"team856 华中科技大学",2,02:03:28,,(-4),,,,"00:42:02 (-1)",,(-3),,,"00:21:26 (-2)",,
606,"team718 吉林大学",2,02:08:38,,(-13),,,,(-4),,,,,00:54:00,,01:14:38
607,"team559 上海师范大学",2,02:15:44,,(-9),,,,01:19:33,,,,,"00:36:11 (-1)",,
608,"team258 武汉大学",2,02:19:58,,(-6),,,,(-10),,,,(-14),"00:36:05 (-2)",,01:03:53
609,"team789 西南石油大学",2,02:28:43,,(-2),,,,(-1),,,,,"00:30:01 (-1)",,01:38:42
610,"team227 成都信息工程大学",2,02:31:14,,,,,,(-4),,,,,"00:52:25 (-2)",,00:58:49
611,"team416 长沙学院",2,02:43:12,,(-1),,,,(-4),,,,,"00:42:40 (-1)",,01:40:32
612,"team261 北京理工大学",2,03:08:53,,,,,,,,,,,"00:35:45 (-1)",,02:13:08
613,"team556 浙江工业职业技术学院",2,03:11:06,,,,,,(-2),,,,,"01:39:36 (-2)",,00:51:30
614,"team764 义乌中学",2,03:18:50,,(-6),,,,02:35:02,,,,,00:43:48,,
615,"team098 北京理工大学珠海学院",2,03:21:57,,(-5),,,,,,,,,"00:48:21 (-2)",,01:53:36
616,"team763 义乌中学",2,03:22:33,,(-4),,,,"02:18:53 (-1)",,,,,00:43:40,,
617,"team557 浙江工业职业技术学院",2,03:24:36,,,,,,(-4),,,,,"01:25:31 (-1)",,01:39:05
618,"team277 浙江工商大学",2,03:27:07,,(-11),,,,(-22),,,,,"00:34:29 (-2)",,02:12:38
619,"team034 中国传媒大学",2,03:31:40,,(-4),,,,(-2),,(-1),,,"01:44:12 (-1)",,01:27:28
620,"team912 广西大学",2,03:33:19,,(-14),,,,(-2),,,,,"01:30:36 (-2)",,01:22:43
621,"team505 南京航空航天大学",2,03:34:59,,,,,,,,,,,"00:57:51 (-4)",,01:17:08
622,"team405 哈尔滨理工大学",2,03:37:42,,,,,,(-2),,(-1),,,"00:48:01 (-2)",,02:09:41
623,"team494 中国民航大学",2,03:45:18,,,,,,(-4),,,,,"01:04:41 (-1)",,02:20:37
624,"team566 重庆大学",2,03:45:53,,(-6),,,,(-4),,,,,"00:47:10 (-1)",,02:38:43
625,"team967 华东理工大学",2,03:52:22,,(-7),,,,"00:50:17 (-2)",,,,,"02:02:05 (-1)",,
626,"team267 北京理工大学",2,03:53:59,,,,,,(-2),,,,,"00:48:59 (-3)",,02:05:00
627,"team928 北华大学",2,03:56:07,,,,,,(-1000),,,,,"01:06:54 (-3)",,01:49:13
628,"team567 重庆大学",2,03:56:57,,(-2),,,,,,,,,"01:32:27 (-2)",,01:44:30
629,"team058 东北大学",2,04:03:40,,(-8),,,,(-12),,(-1),,,"00:55:47 (-1)",,02:47:53
630,"team376 浙大城市学院",2,04:05:25,,,,,,,,,,,"01:20:10 (-1)",,"01:45:15 (-2)"
631,"team428 中国矿业大学",2,04:08:12,,,,,,"02:03:35 (-1)",,,,,"01:24:37 (-1)",,
632,"team662 北方工业大学",2,04:09:50,,,,,,"01:27:58 (-4)",,,,,"00:41:52 (-2)",,
633,"team625 海亮高级中学",2,04:12:40,,,,,(-3),,,,"02:31:52 (-3)",,"00:20:48 (-1)",,
634,"team785 浙江财经大学",2,04:13:58,,(-6),,,,"02:27:01 (-1)",,,,,"01:06:57 (-1)",,(-2)
635,"team784 浙江财经大学",2,04:17:53,,(-12),,,,(-7),,,,,00:32:07,,"03:25:46 (-1)"
636,"team516 浙江科技大学",2,04:21:56,,,,,,"02:39:27 (-1)",,,,,"01:02:29 (-1)",,
637,"team669 长春理工大学",2,04:23:38,,(-34),,,,"02:25:35 (-2)",,,,,"00:38:03 (-2)",,
638,"team047 阜阳师范大学",2,04:23:47,,,,,,(-6),,,,,01:03:33,,03:20:14
639,"team565 重庆大学",2,04:30:04,,(-26),,,,(-20),,,,,"00:45:16 (-1)",,03:24:48
640,"team299 南方科技大学",2,04:35:12,,,,,,"02:35:44 (-2)",,,,,"00:59:28 (-1)",,
641,"team746 华南师范大学",2,04:35:51,,(-3),,,,"02:29:49 (-2)",,,,,(-5),,01:26:02
642,"team529 厦门大学",2,04:38:09,,,,,,(-5),,,,,"00:51:04 (-2)",,03:07:05
643,"team595 中国矿业大学徐海学院",2,04:39:06,,(-4),,,,"03:21:44 (-1)",,,,,"00:37:22 (-1)",,
644,"team322 中国地质大学（北京）",2,04:47:20,,(-8),,,,(-2),,,,,01:33:26,,03:13:54
645,"team411 中原工学院",2,04:48:25,,,,,,02:23:30,,,,,"01:24:55 (-3)",,(-1)
646,"team592 南昌理工学院",2,04:49:10,,,,,,"03:47:43 (-2)",,,,,00:21:27,,
647,"team832 南京邮电大学",2,05:16:21,,,,,,02:56:18,,,,,"02:00:03 (-1)",,
648,"team825 南京邮电大学",2,05:20:51,,,,,,"01:24:14 (-1)",,,,,"02:16:37 (-4)",,
649,"team806 哈尔滨工业大学",2,05:21:45,,,,,,02:41:15,,,,,"02:20:30 (-1)",,
650,"team893 安阳工学院",2,05:27:53,,(-2),,,,01:37:49,,,,,03:50:04,,
651,"team643 南京信息工程大学",2,05:28:46,,(-3),,,,"02:51:53 (-1)",,,,,"01:56:53 (-1)",,
652,"team959 深圳北理莫斯科大学附属实验中学",2,05:31:06,,(-1),,,,"04:12:26 (-3)",,,,,00:18:40,,
653,"team228 成都信息工程大学",2,05:31:51,,,,,,(-8),,,,,"00:51:22 (-2)",,04:00:29
654,"team833 南京邮电大学",2,05:33:33,,(-3),,,,"02:31:56 (-2)",,(-3),,,"00:41:37 (-5)",,
655,"team074 西北农林科技大学",2,05:34:17,,,,,,"03:04:47 (-4)",,,,,"00:49:30 (-1)",,
656,"team518 浙江科技大学",2,05:35:37,,,,,,(-2),,,,,"00:42:43 (-1)",,04:32:54
657,"team935 哈尔滨工业大学",2,05:39:28,,02:02:27,,,,,,"03:17:01 (-1)",,,,,
658,"team291 宁波大学",2,05:39:58,,"02:40:55 (-1)",,,,"01:19:03 (-4)",,(-2),,,,,
659,"team364 浙江育英职业技术学院",2,05:44:20,,(-19),,,,"02:36:58 (-5)",,,,,"00:27:22 (-3)",,
660,"team348 南京大学",2,05:53:28,,(-8),,,,"02:17:42 (-3)",,,,,"01:55:46 (-2)",,
661,"team837 南京邮电大学",2,05:53:50,,,,,,"02:37:59 (-4)",,,,,01:55:51,,
662,"team164 山东理工大学",2,05:57:43,,(-86),,,,"03:24:24 (-5)",,,,,"00:33:19 (-1)",,
663,"team447 西安电子科技大学",2,06:02:20,,"02:19:45 (-7)",,,,01:22:35,,,,,,,
664,"team201 江西财经大学",2,06:02:53,,(-1),,,,(-2),,,,,"01:51:58 (-3)",,03:10:55
665,"team362 浙江育英职业技术学院",2,06:03:41,,(-19),,,,"02:24:21 (-4)",,,,,"01:39:20 (-2)",,
666,"team992 福建理工大学",2,06:03:58,,(-1),,,,(-8),,,,,"01:10:35 (-3)",,03:53:23
667,"team733 天津工业大学",2,06:09:37,,(-3),,,,"04:02:36 (-4)",,,,,"00:27:01 (-1)",,
668,"team133 浙大宁波理工学院",2,06:09:46,,(-4),,,,(-13),,,,,"01:43:44 (-4)",,03:06:02
669,"team410 中原工学院",2,06:18:40,,(-6),,,,"03:01:19 (-4)",,,,,"00:57:21 (-3)",,
670,"team898 安阳工学院",2,06:20:36,,"02:58:56 (-5)",,,,01:41:40,,,,,,,
671,"team465 中南民族大学",2,06:28:57,,,,,,(-2),,(-2),,,"02:41:07 (-1)",,03:27:50
672,"team023 华东理工大学",2,06:35:23,,,,,,"03:26:12 (-2)",,(-2),,,"01:49:11 (-2)",,
673,"team347 南京大学",2,06:46:13,,(-6),,,,(-3),,,,,"02:03:04 (-5)",,03:03:09
674,"team671 南京大学",2,06:47:54,,,,,,"03:27:33 (-1)",,,,,"02:40:21 (-1)",,(-1)
675,"team396 安徽大学",2,06:57:42,,(-2),,,,,,,,,03:04:24,,03:53:18
676,"team834 南京邮电大学",2,06:59:35,,,,,,"02:49:19 (-2)",,,,,"02:10:16 (-4)",,
677,"team624 海亮高级中学",2,07:05:39,,,,,,"04:54:04 (-2)",,,,,"00:31:35 (-3)",,
678,"team476 杭州电子科技大学信息工程学院",2,07:14:43,,,,,,"04:09:15 (-1)",,,,,"02:05:28 (-2)",,
679,"team085 东北师范大学",2,07:16:39,,,,,,(-5),,,,,"01:28:04 (-3)",,04:48:35
680,"team289 宁波大学",2,07:23:27,,(-1),,,,"02:15:15 (-1)",,,,,"03:48:12 (-3)",,
681,"team363 浙江育英职业技术学院",2,07:29:06,,,,,,"03:29:42 (-6)",,,,,"01:19:24 (-2)",,
682,"team637 南阳理工学院",2,07:32:58,,(-1),,,,"04:34:46 (-7)",,,,,00:38:12,,
683,"team087 东北师范大学",2,07:36:36,,,,,,(-2),,,,,"02:05:55 (-4)",,"03:50:41 (-1)"
684,"team324 中国地质大学（北京）",2,07:36:57,,(-5),,,,(-3),,,,,"02:48:29 (-3)",,03:48:28
685,"team538 电子科技大学",2,07:38:05,,,,,,(-9),,,,,"01:03:44 (-6)",,04:34:21
686,"team999 金策工业综合大学",2,07:55:00,,(-2),,,,02:48:46,,,,,"04:26:14 (-2)",,
687,"team458 宁夏大学",2,08:12:06,,(-7),,,,"03:12:16 (-7)",,,,,"00:59:50 (-5)",,
688,"team043 阜阳师范大学",2,08:13:57,,(-1000),,,,"03:12:20 (-12)",,,,,"00:41:37 (-1)",,
689,"team361 浙江育英职业技术学院",2,08:31:02,,,,,,"04:31:54 (-8)",,,,,01:19:08,,
690,"team629 山东财经大学",2,08:35:42,,,,,,02:03:39,,,,,"01:32:03 (-15)",,
691,"team969 浙江农林大学",2,08:39:49,,(-8),,,,"03:42:30 (-3)",,,,,"02:17:19 (-5)",,
692,"team393 湖南大学",2,08:47:11,,,,,,,,,,,"01:55:07 (-6)",,04:52:04
693,"team344 南京大学",2,08:55:45,,,,,,03:14:02,,,,,"04:41:43 (-3)",,
694,"team088 徐州工程学院",2,08:58:40,,,,,,"04:29:20 (-11)",,,,,"00:29:20 (-1)",,
695,"team568 重庆大学",2,09:07:54,,(-1),,,,"03:56:03 (-4)",,,,,"01:31:51 (-7)",,
696,"team360 浙江育英职业技术学院",2,09:23:48,,,,,,"04:59:10 (-5)",,,,,"01:44:38 (-3)",,
697,"team019 中国海洋大学",2,09:24:42,,,,,,"04:38:18 (-2)",,,,,"03:06:24 (-3)",,
698,"team839 河南理工大学",2,09:25:39,,(-2),,,,"02:14:29 (-2)",,,,,"03:51:10 (-8)",,
699,"team894 安阳工学院",2,09:39:44,,(-5),,,,"04:37:04 (-1)",,,,,"04:02:40 (-2)",,
700,"team466 中南民族大学",2,09:46:52,,,,,,(-2),,,,,"02:49:16 (-10)",,03:37:36
701,"team145 浙江万里学院",2,09:54:13,,,,,,"02:43:34 (-6)",,,,,"03:30:39 (-5)",,
702,"team495 中国民航大学",2,09:56:29,,,,,,02:58:35,,,,,"04:57:54 (-6)",,
703,"team488 江苏科技大学",2,10:18:40,,,,,,"04:23:52 (-11)",(-1),,,,"01:54:48 (-1)",,
704,"team654 武汉商学院",2,10:37:04,,,,,,,,,,,"03:03:03 (-8)",,04:54:01
705,"team209 苏州大学",2,11:47:06,,(-30),,,,(-9),,,(-3),,"01:10:54 (-7)",(-2),"01:56:12 (-19)"
706,"team649 西南科技大学",2,12:49:44,,"04:20:47 (-21)",,,,(-4),,,,,"00:48:57 (-2)",,
707,"team596 中国矿业大学徐海学院",2,13:20:21,,"04:17:31 (-19)",,,,(-5),,,,,"01:22:50 (-4)",,
708,"team278 河南工程学院",2,13:31:48,,"04:45:26 (-8)",,,,(-28),,,,,"03:26:22 (-8)",,
709,"team219 浙江理工大学",1,00:20:01,,(-4),,,,(-8),,,,,00:20:01,,
710,"team367 长沙市雅礼中学",1,00:38:21,,,,,,,,,,,00:38:21,,
711,"team633 南阳理工学院",1,00:40:00,,,,,,(-4),,,,,00:40:00,,
712,"team368 长沙市雅礼中学",1,00:40:05,,,,,,,,,,,"00:20:05 (-1)",,
713,"team712 吉林大学",1,00:47:09,,(-15),,,,,,,,,00:47:09,,
714,"team756 华中师范大学",1,00:47:27,,,,,,,,,,,"00:27:27 (-1)",,
715,"team457 北京化工大学",1,00:53:45,,(-6),,,,(-1),,,,,"00:33:45 (-1)",,
716,"team526 厦门大学",1,00:54:52,,,,,,(-1),,,,,"00:34:52 (-1)",,
717,"team429 中国矿业大学",1,00:56:57,,(-1),,,,(-3),,,,,"00:36:57 (-1)",,
718,"team663 北方工业大学",1,00:57:07,,,,,,,,,,,(-1),,00:57:07
719,"team025 华东理工大学",1,00:59:10,,,,,,(-5),,,,,"00:39:10 (-1)",,(-2)
720,"team118 南京外国语学校",1,01:00:27,,(-10),,,,(-3),,,,,"00:40:27 (-1)",,
721,"team868 常熟理工学院",1,01:02:42,,,,,,,,,,,"00:42:42 (-1)",,
722,"team349 南京大学",1,01:05:49,,(-6),,,,(-1),,,,,"00:45:49 (-1)",,
723,"team138 山河大学宁波分校",1,01:08:44,,,,,,(-2),,,,,"00:28:44 (-2)",,(-1)
724,"team899 四川大学",1,01:09:25,,,,,,(-1),,,,,"00:49:25 (-1)",,
725,"team506 南京航空航天大学",1,01:10:16,,,,,,,,,,,"00:50:16 (-1)",,
726,"team045 阜阳师范大学",1,01:13:07,,,,,,(-6),,,,,"00:53:07 (-1)",,
727,"team1032 四川省成都市第七中学",1,01:14:49,,,,,,(-2),,,,,"00:34:49 (-2)",,
728,"team857 华中科技大学",1,01:21:44,,,,,,,,,,,"01:01:44 (-1)",,
729,"team997 金策工业综合大学",1,01:24:05,,,,,,,,,,,"01:04:05 (-1)",,
730,"team005 扬州大学",1,01:25:14,,(-5),,,,,,,,,"00:25:14 (-3)",,
731,"team216 浙江理工大学",1,01:28:29,,(-1),,,,(-14),,,,,01:28:29,,
732,"team1027 北京建筑大学",1,01:28:30,,,,,,(-7),,,,,"01:08:30 (-1)",,
733,"team517 浙江科技大学",1,01:29:26,,,,,,(-4),,,,,01:29:26,,
734,"team574 哈尔滨工程大学",1,01:29:34,,,,,,(-5),,,,,"00:29:34 (-3)",,
735,"team196 韶关学院",1,01:30:55,,,,,,(-9),,,,,"00:50:55 (-2)",,
736,"team639 厦门理工学院",1,01:34:10,,,,,,(-10),,,,,"01:14:10 (-1)",,
737,"team605 河南工程学院",1,01:34:54,,(-7),,,,(-7),,,,,"00:54:54 (-2)",,(-1)
738,"team024 华东理工大学",1,01:35:55,,,,,,,,,,,"01:15:55 (-1)",,
739,"team914 南昌理工学院",1,01:36:18,,(-3),,,,(-1),,,,,"00:36:18 (-3)",,
740,"team359 华中农业大学",1,01:42:49,,,,,,(-1),,,,,"01:22:49 (-1)",,
741,"team250 钉耙编程-小学组-林骏烨",1,01:43:04,,,,,,,,,,,"00:43:04 (-3)",,
742,"team437 乐山师范学院",1,01:44:36,,(-3),,,,(-1),,,,,"01:24:36 (-1)",,
743,"team925 南昌大学",1,01:45:57,,,,,,,,,,,"00:45:57 (-3)",,
744,"team249 成都东软学院",1,01:49:06,,,,,,,,,,,"01:09:06 (-2)",,
745,"team594 南昌理工学院",1,01:54:50,,,,,,(-9),,,,,"01:34:50 (-1)",,
746,"team412 中原工学院",1,02:06:58,,,,,,(-2),,,,,"01:46:58 (-1)",,
747,"team496 中国民航大学",1,02:12:05,,(-130),,,,(-1),,(-7),,,"01:12:05 (-3)",,
748,"team606 河南工程学院",1,02:12:13,,(-5),,,,(-5),,,,,"00:52:13 (-4)",,
749,"team378 浙大城市学院",1,02:15:22,,,,,,(-16),,,,,"01:35:22 (-2)",,
750,"team471 广西师范大学",1,02:18:52,,,,,,,,,,,"01:38:52 (-2)",,
751,"team507 南京航空航天大学",1,02:19:27,,,,,,(-1),,,,,"01:19:27 (-3)",,
752,"team286 宁波大学",1,02:19:34,,(-1),,,,(-2),,,,,"01:19:34 (-3)",,
753,"team377 浙大城市学院",1,02:21:31,,,,,,,,,,,"01:41:31 (-2)",,
754,"team401 哈尔滨理工大学",1,02:22:24,,,,,,,,,,,"02:02:24 (-1)",,
755,"team727 青岛大学",1,02:25:22,,,,,,(-1),,,,,"01:25:22 (-3)",,
756,"team436 乐山师范学院",1,02:27:01,,,,,,(-9),,,,,"00:47:01 (-5)",,(-1)
757,"team430 中国矿业大学",1,02:33:36,,(-3),,,,(-5),,,,,"01:53:36 (-2)",,
758,"team504 南京航空航天大学",1,02:34:18,,,,,,,,,,,"01:34:18 (-3)",,
759,"team656 武汉商学院",1,02:47:42,,,,,,,,,,,(-7),,02:47:42
760,"team287 宁波大学",1,02:47:53,,,,,,,,,,,"02:27:53 (-1)",,
761,"team149 郑州大学",1,02:48:47,,,,,,,,,,,"01:08:47 (-5)",,
762,"team849 湖南中医药大学",1,02:51:00,,,,,,(-1),,,,,02:51:00,,
763,"team847 哈尔滨工业大学（威海）",1,02:52:27,,,,,,,,,,,"01:32:27 (-4)",,
764,"team726 广西民族大学",1,02:57:45,,,,,,,,,,,"02:17:45 (-2)",,
765,"team539 电子科技大学",1,02:59:32,,(-4),,,,(-15),,,,,"01:39:32 (-4)",,
766,"team646 南京信息工程大学",1,03:09:54,,(-4),,,,(-2),,,,,"02:09:54 (-3)",,
767,"team217 浙江理工大学",1,03:11:44,,(-7),,,,(-1),,,,,"01:51:44 (-4)",,(-1)
768,"team070 安徽师范大学",1,03:12:11,,,,,,,,,,,"02:32:11 (-2)",,
769,"team653 武汉商学院",1,03:14:21,,,,,(-2),(-6),,,,,"02:14:21 (-3)",,
770,"team195 华侨大学",1,03:17:47,,,,,,(-5),,,,,"02:17:47 (-3)",,
771,"team352 南京大学",1,03:18:22,,,,,,,,,,,"01:58:22 (-4)",,
772,"team499 哈尔滨理工大学",1,03:20:59,,(-5),,,,(-2),,,,,"02:40:59 (-2)",,
773,"team828 南京邮电大学",1,03:21:53,,(-4),,,,(-1),,,,,"02:01:53 (-4)",,
774,"team1063 中山市中山纪念中学",1,03:23:27,,(-4),,,,,,,,,"02:43:27 (-2)",,
775,"team800 西南财经大学",1,03:24:17,,,,,,,,,,,03:24:17,,
776,"team687 青岛科技大学",1,03:24:38,,,,,,(-4),,,,(-1),"02:24:38 (-3)",,
777,"team744 华南师范大学",1,03:33:38,,,,,,(-5),,,,,"01:53:38 (-5)",,
778,"team472 广西师范大学",1,03:35:14,,,,,,(-1),,,,,"02:35:14 (-3)",,
779,"team848 湖南中医药大学",1,03:36:43,,,,,,(-1),,,,,"02:56:43 (-2)",,
780,"team787 浙江财经大学",1,03:36:45,,(-9),,,,(-2),,,,,"02:16:45 (-4)",,
781,"team374 浙大城市学院",1,03:36:47,,,,,,(-4),,,,,"02:36:47 (-3)",,(-1)
782,"team280 武汉大学",1,03:38:20,,,,,,(-4),,(-1),,,"02:38:20 (-3)",(-19),
783,"team829 南京邮电大学",1,03:39:30,,,,,,(-6),,,,,(-9),,03:39:30
784,"team203 江西财经大学",1,03:45:24,,,,,,(-1),,,,,"02:25:24 (-4)",,
785,"team788 浙江财经大学",1,03:46:14,,,,,,"03:26:14 (-1)",,,,,(-4),,
786,"team089 徐州工程学院",1,03:48:15,,,,,,(-4),,,,,"01:48:15 (-6)",,
