Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
78,"team388 华南师范大学附属中学",7,21:10:15,,"04:41:46 (-10)",,"04:22:42 (-2)","02:34:40 (-3)",00:37:32,,"03:08:09 (-1)",,,00:09:10,,00:16:16
79,"team535 电子科技大学",7,21:27:41,,"02:14:06 (-5)",,"03:49:49 (-12)",(-3),"01:06:58 (-2)",,01:44:34,,04:59:34,00:22:21,,00:50:19
80,"team758 武汉科技大学",7,22:30:54,,"03:59:48 (-15)",,02:10:18,"01:11:43 (-4)","01:53:33 (-2)",,,,04:27:07,"00:41:46 (-2)",,00:26:39
81,"team812 重庆市育才中学",7,25:08:07,,"02:48:35 (-6)",,,"03:57:26 (-24)","01:24:30 (-2)",,03:44:52,"00:31:10 (-1)",,"00:22:21 (-1)",,00:59:13
82,"team480 长沙市长郡中学",7,28:42:52,,"04:18:37 (-10)",,,,"01:44:57 (-6)",,"03:07:47 (-1)",04:37:21,"04:03:00 (-7)","00:37:10 (-1)",,01:54:00
83,"team103 南京外国语学校",7,86:48:51,"04:53:02 (-186)","00:38:59 (-10)",,"02:37:24 (-9)","00:24:46 (-7)","03:12:29 (-4)",,,,(-1),"00:50:03 (-3)",(-5),01:12:08
84,"team617 绍兴一中",6,07:18:07,,"01:20:46 (-2)",,,"03:34:31 (-1)",00:22:39,,00:45:10,,,00:09:01,,00:06:00
85,"team750 南京理工大学",6,08:19:21,,01:13:06,,,"03:01:32 (-4)",00:37:36,,01:27:30,,,00:24:56,,00:14:41
86,"team905 北京大学",6,10:05:13,,"02:21:15 (-6)",,01:27:08,,00:44:49,,01:09:03,,,"00:37:07 (-1)",,01:25:51
87,"team872 复旦大学",6,10:34:21,,01:58:36,,04:05:24,(-8),00:53:38,,"01:40:11 (-1)",,,00:24:42,,01:11:50
88,"team531 电子科技大学",6,11:12:51,00:54:52,"03:54:24 (-5)",,,(-3),"01:14:26 (-1)",,01:59:28,,,"00:14:57 (-1)",,00:34:44
89,"team212 浙江理工大学",6,11:39:12,,"01:35:29 (-3)",,(-4),"03:47:03 (-2)","01:02:25 (-1)",,02:26:48,,,00:14:05,,00:33:22
90,"team877 复旦大学",6,11:41:59,,01:22:02,,,,00:39:05,,04:55:26,,"03:21:31 (-2)",00:19:00,,00:24:55
91,"team577 南京理工大学",6,11:47:15,(-1),"02:45:14 (-2)",,(-2),03:29:20,"00:47:07 (-2)",,"01:47:40 (-1)",,,00:15:50,,01:02:04
92,"team622 海亮高级中学",6,11:52:49,,"01:43:28 (-7)",,,(-11),00:53:01,,01:23:41,,"03:41:37 (-1)",00:29:39,,01:01:23
93,"team876 复旦大学",6,11:54:39,,01:37:13,,,,00:41:34,"02:56:21 (-1)","04:29:08 (-1)",,,"00:21:19 (-1)",,00:49:04
94,"team880 复旦大学",6,12:06:41,,"01:43:29 (-1)",,,,00:38:03,02:57:52,,,"04:50:44 (-1)",00:21:23,,00:55:10
95,"team370 浙大城市学院",6,12:07:10,,"02:29:04 (-2)",,(-3),(-11),01:01:34,,01:49:59,,03:50:08,"00:20:49 (-2)",,01:15:36
96,"team674 南京大学",6,12:15:25,,"02:26:49 (-4)",,,(-1),00:40:28,,"02:15:19 (-1)",,02:51:22,"01:02:06 (-2)",,00:39:21
97,"team366 长沙市雅礼中学",6,12:24:51,,"03:46:08 (-9)",,,02:31:16,00:46:03,,01:40:52,,,00:11:15,,00:29:17
98,"team881 复旦大学",6,12:29:27,,"02:35:28 (-3)",,03:33:33,,01:22:09,,"02:25:26 (-2)",,,00:38:02,,00:14:49
99,"team555 清华大学",6,12:42:24,,"03:07:13 (-2)",,,"04:31:43 (-1)",01:26:12,,01:38:02,,,00:40:53,,00:18:21
100,"team717 吉林大学",6,12:51:29,,"01:52:35 (-8)",,,"02:51:05 (-2)","00:47:40 (-2)",,"01:36:51 (-1)",,,"00:17:45 (-2)",,00:25:33
101,"team1005 杭州电子科技大学",6,13:12:07,,"02:28:46 (-5)",,,(-17),"01:21:32 (-1)",,00:54:52,,,00:28:23,"04:38:17 (-3)",00:20:17
102,"team491 中国民航大学",6,13:43:57,,"02:42:30 (-1)",,(-1),"04:33:19 (-4)",00:58:36,,02:59:37,,,00:28:57,,00:20:58
103,"team541 北京交通大学",6,13:53:15,,"02:02:55 (-1)",,,,01:02:10,,02:06:38,,"04:36:10 (-7)","00:21:28 (-1)",,00:43:54
104,"team990 山东大学",6,13:57:38,,"02:55:14 (-4)",,(-6),(-15),00:18:28,,"03:04:23 (-1)",,04:21:10,"00:28:07 (-2)",,00:30:16
105,"team311 北京邮电大学",6,14:12:53,,"03:06:27 (-5)",,04:30:27,(-4),"01:00:53 (-1)",,02:18:56,,,00:50:53,,00:25:17
106,"team409 厦门双十中学",6,14:18:26,,"02:56:11 (-5)",,(-5),"04:22:55 (-2)","00:58:09 (-2)",,02:26:50,,,00:16:54,,00:17:27
107,"team004 华东师范大学第二附属中学",6,14:30:30,,"03:15:19 (-5)",(-27),(-3),"03:03:11 (-6)","02:10:56 (-2)",,01:16:14,,(-4),00:12:43,,00:12:07
108,"team964 浙江师范大学",6,14:55:09,,"02:27:15 (-5)",,"04:25:39 (-5)",,00:51:27,,"02:24:56 (-1)",,,00:22:31,,00:43:21
109,"team262 北京理工大学",6,15:14:27,,"01:30:22 (-2)",,02:10:07,"04:33:14 (-11)",01:00:25,,,,,"00:25:29 (-1)",,00:54:50
110,"team815 重庆市育才中学",6,15:26:23,,"03:00:37 (-9)",,,(-7),"01:23:57 (-1)",,03:36:19,"01:21:21 (-3)",,00:18:48,,01:25:21
111,"team1006 杭州电子科技大学",6,15:32:31,,"02:49:36 (-7)",,"04:55:52 (-4)",,01:05:57,,"01:57:24 (-1)",,(-2),00:12:14,,00:31:28
112,"team141 上海理工大学",6,15:34:21,,"02:59:17 (-7)",(-18),03:45:58,,"00:35:48 (-1)",,04:00:29,,,"00:32:16 (-1)",,00:40:33
113,"team266 北京理工大学",6,15:36:14,,"02:15:50 (-3)",,,(-12),"00:17:21 (-1)",,"04:26:42 (-2)",,04:21:48,"00:46:56 (-2)",,00:47:37
114,"team884 河海大学",6,15:55:31,,"01:23:31 (-2)",,04:24:56,"04:55:17 (-7)","00:35:26 (-1)",,,,,"00:23:14 (-2)",,00:13:07
115,"team961 浙江师范大学",6,16:09:13,,"02:57:35 (-6)",,,(-5),"00:57:14 (-2)",,04:49:17,,"03:30:55 (-2)",00:14:12,,00:20:00
116,"team414 深圳中学",6,16:41:33,,"04:14:27 (-2)",,02:07:01,"02:56:36 (-7)","01:37:20 (-1)",,,(-6),,"00:33:12 (-3)",,00:52:57
117,"team534 电子科技大学",6,16:48:59,,"01:56:20 (-2)",,,"04:58:14 (-11)",01:19:52,,02:37:11,,,"00:35:34 (-1)",,00:41:48
118,"team817 重庆市育才中学",6,17:17:24,,"03:46:07 (-5)",,(-4),"02:57:10 (-6)","00:26:31 (-1)",,(-1),"03:19:24 (-5)",,"00:09:11 (-1)",,00:39:01
119,"team558 上海师范大学",6,17:20:13,,"03:34:51 (-15)",,"03:51:06 (-1)",,"00:58:38 (-2)",,01:36:58,,,"00:41:44 (-1)",,00:16:56
120,"team063 浙江工业大学",6,17:20:35,,"03:40:33 (-2)",,,"04:22:49 (-1)","02:04:44 (-1)",,03:29:43,,,"00:39:55 (-2)",,01:02:51
