Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
83,"team1009 杭州电子科技大学",5,07:42:52,,00:47:30,,,,,,"00:44:56 (-1)","01:26:14 (-2)","02:28:22 (-1)","00:35:50 (-1)",
84,"team753 华中师范大学",5,07:43:04,(-2),"00:48:28 (-1)",,,,,,00:19:55,"01:10:23 (-1)","03:28:22 (-2)","00:15:56 (-1)",
85,"team441 杭州师范大学",5,07:45:26,,01:19:16,,,,,,00:14:39,00:42:10,"03:33:37 (-4)","00:15:44 (-1)",
86,"team010 山东科技大学",5,07:47:03,,01:23:41,,,,,,00:38:48,01:15:55,"03:17:15 (-2)","00:11:24 (-1)",
87,"team210 浙江理工大学",5,07:47:05,,01:21:43,,,,(-1),,"00:17:37 (-3)","00:51:09 (-5)",02:22:04,00:14:32,(-1)
88,"team273 浙江工商大学",5,07:50:47,(-5),"02:03:40 (-1)",,,,,,00:38:49,00:27:52,"03:13:30 (-1)","00:26:56 (-1)",
89,"team066 浙江工业大学",5,07:51:19,,"02:12:01 (-1)",,,,,,00:57:41,"01:12:25 (-1)","01:53:42 (-1)","00:15:30 (-1)",
90,"team580 福州大学",5,07:53:35,(-5),"01:03:37 (-2)",,,,,,00:35:58,02:01:11,02:44:39,"00:08:10 (-2)",
91,"team876 复旦大学",5,07:57:20,(-3),"00:54:56 (-1)",,,,(-1),,00:34:38,"01:25:55 (-1)","03:10:20 (-2)","00:11:31 (-1)",
92,"team454 北京化工大学",5,08:01:41,,"02:29:52 (-2)",,,,,,00:17:07,01:02:51,03:06:54,00:24:57,
93,"team063 浙江工业大学",5,08:06:31,(-3),01:09:32,,(-1),,,(-6),00:28:19,00:52:07,"03:36:20 (-4)","00:20:13 (-1)",(-1)
94,"team971 天津大学",5,08:06:36,(-4),"01:35:13 (-5)",,,,,,00:27:07,"01:07:07 (-1)",02:42:51,00:14:18,
95,"team680 南京大学",5,08:19:51,,01:19:36,,,,,,00:53:04,"02:03:28 (-3)",02:11:14,"00:32:29 (-1)",
96,"team301 北京邮电大学",5,08:21:49,(-1),"02:03:37 (-3)",,,,,,00:15:43,"01:10:35 (-1)",03:12:14,00:19:40,
97,"team881 复旦大学",5,08:23:21,(-7),01:22:03,,,,(-7),,00:29:28,"02:07:52 (-6)",01:55:11,"00:08:47 (-1)",
98,"team307 北京邮电大学",5,08:23:23,(-1),"00:57:09 (-2)",,,,,,00:23:50,"00:31:05 (-1)","04:38:04 (-2)",00:13:15,
