Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
90,"team1009 杭州电子科技大学",7,15:27:18,00:54:13,"03:34:31 (-1)",00:38:18,00:26:26,"02:22:16 (-1)",,01:44:20,"04:47:14 (-1)",,,
91,"team065 浙江工业大学",7,15:52:30,"00:58:02 (-2)","03:17:17 (-2)",00:49:50,01:06:19,01:28:10,,"02:13:45 (-1)","03:59:07 (-1)",,,
92,"team750 南京理工大学",7,16:09:47,"00:41:12 (-1)",03:11:01,"00:45:05 (-1)",00:24:39,02:13:12,,01:03:12,,,,"04:51:26 (-7)"
93,"team691 华东师范大学",7,16:12:43,00:18:13,"03:55:14 (-1)","00:35:18 (-1)",00:38:20,"02:08:46 (-1)",,02:25:27,,,,"04:51:25 (-1)"
94,"team761 义乌中学",7,16:52:44,"00:43:41 (-1)","02:52:40 (-3)",00:37:34,00:25:23,"02:45:29 (-1)",,"02:16:39 (-2)","04:11:18 (-2)",,,
95,"team108 南京外国语学校",7,17:05:04,00:40:21,"04:37:19 (-7)","00:39:58 (-2)",01:00:41,"01:49:06 (-1)",(-1),01:24:13,,,,03:33:26
96,"team417 湘潭大学",7,17:13:45,"01:24:15 (-1)",02:57:07,00:35:22,01:03:54,02:08:37,,"01:48:07 (-1)","04:36:23 (-6)",,,(-1)
97,"team106 南京外国语学校",7,17:15:25,"00:50:43 (-4)","02:47:26 (-3)",00:15:31,"01:39:52 (-7)",00:47:09,,02:06:48,(-6),,,"03:27:56 (-2)"
98,"team418 湘潭大学",7,17:25:47,"00:50:25 (-4)","01:44:15 (-1)","00:37:43 (-1)",01:10:37,"02:43:45 (-1)",,02:05:53,"03:33:09 (-7)",,,
99,"team842 南京大学",7,17:36:07,"01:11:56 (-2)","04:15:20 (-4)",00:32:02,"00:17:00 (-1)","02:53:11 (-2)",(-1),02:02:17,(-2),,,"02:44:21 (-2)"
100,"team845 四川省成都市第七中学",7,17:43:20,"00:34:06 (-1)","04:36:55 (-3)",00:24:33,00:43:07,"01:43:24 (-1)",,03:03:30,"02:57:45 (-6)",,,
101,"team561 重庆大学",7,17:45:54,"00:16:48 (-1)",04:11:45,"01:02:01 (-1)",00:12:53,"02:08:52 (-1)",,"03:23:21 (-1)","04:50:14 (-1)",,,(-2)
